step,teste,train
0,0.6444834,0.07137298
1,0.5856779,0.07137298
10,0.12453884,0.07137298
11,0.109395124,0.07137298
12,0.096348554,0.07137298
13,0.08742787,0.07137298
14,0.0842488,0.07137298
15,0.07553999,0.07137298
16,0.07465533,0.07137298
17,0.06807287,0.07137298
18,0.06680788,0.07137298
19,0.062062174,0.07137298
2,0.52398044,0.07137298
3,0.458045,0.07137298
4,0.39234325,0.07137298
5,0.32514384,0.07137298
6,0.26392928,0.07137298
7,0.2203845,0.07137298
8,0.17368928,0.07137298
9,0.1445141,0.07137298
